"rank","film","country_of_origin","weekend_gross","distributor","percent_change_on_last_week","weeks_on_release","number_of_cinemas","site_average","total_gross_to_date","weekend_sunday"
1,"Mary Poppins Returns","UK/USA","4444023","Disney",-0.402864702795046,3,718,6189,34295862,2019-01-06
2,"The Favourite","UK/USA/Ire","3973975","20th Century Fox",NA,1,538,7386,3973975,2019-01-06
3,"Aquaman","USA","1855420","Warner Bros",-0.242493091100308,4,536,3461,18277630,2019-01-06
4,"Andre Rieu's 2019 New Year Concert from Sydney (Concert)","Aus","1745941","Piece of Magic",NA,1,570,3063,1745941,2019-01-06
5,"Bumblebee","USA","1736877","Paramount",-0.658568109772327,2,590,2943,9118933,2019-01-06
6,"Ralph Breaks the Internet","USA","1108768","Disney",-0.128802367261887,6,586,1892,15874062,2019-01-06
7,"Spider-Man: Into the Spider-Verse","USA","878768","Sony Pictures",-0.1372184788062,4,520,1689,7730537,2019-01-06
8,"Bohemian Rhapsody","UK/USA","725271","20th Century Fox",0.103350650733644,11,368,1970,48404430,2019-01-06
9,"Fantastic Beasts: The Crimes of Grindelwald","UK/USA","365814","Warner Bros",-0.343367330454169,8,272,1344,33501931,2019-01-06
10,"Holmes & Watson","UK/USA","351017","Sony Pictures",-0.752474605194961,2,429,818,2386435,2019-01-06
11,"The Grinch","USA","322605.48043284798","Universal",-0.571381860323697,9,478,674,27610500,2019-01-06
12,"Creed 2","USA","302463","Warner Bros",-0.266713699706165,6,279,1084,9672937,2019-01-06
13,"Welcome to Marwen","USA","242156","Universal",NA,1,328,738,242156,2019-01-06
14,"Simmba","Ind","130708.924011315","Reliance Big Pictures",-0.513809888218677,2,60,2178,608729,2019-01-06
15,"Free Solo","USA","112519","Dogwoof",-0.313628128564719,4,72,1562,1041224,2019-01-06
16,"Nativity Rocks!","UK","93212","eOne Films",2.37639004600283,7,333,279,3073475,2019-01-06
18,"Life Itself","USA","54131","Sky Cinema",NA,1,35,1546,54131,2019-01-06
19,"RBG","USA","38975","Dogwoof",NA,1,21,1855,38975,2019-01-06
20,"Zabawa, Zabawa","Pol","30848.0481857991","Magnetes",NA,1,106,291,30848,2019-01-06
21,"King of Boys","Nga","27283","Talking Drum",NA,1,4,6820,27283,2019-01-06
23,"Njan Prakashan","Ind","26772","RFT Films",NA,1,28,956,26772,2019-01-06
25,"K.G.F. Chapter 1","Ind","20632","Sandalwood",NA,1,40,515,20632,2019-01-06
28,"Disobedience","UK/USA/Ire","16908","Curzon",0.151692663987467,6,16,1056,526417,2019-01-06
29,"An Impossible Love","Bel/Fra","15548.0356754564","Curzon",NA,1,12,1295,15548,2019-01-06
31,"The Passenger (Re: 2019)","Phi","13469.300000005","BFI",NA,1,8,1683,13469,2019-01-06
32,"Widows","UK/USA","13213","20th Century Fox",-0.101950655882553,9,15,880,6275005,2019-01-06
33,"The King & I: From The London Palladium (Theatre)","UK","13209.0000000048","Trafalgar",-0.359532583397716,7,6,2201,1468748,2019-01-06
38,"Fantastica","Phi","5308.8599999998596","ABS-CBN Distributors",NA,1,3,1769,5308,2019-01-06
39,"The Nutcracker - ROH, London 2018/19 (Ballet)","UK","4903","Royal Opera House",5.00857843137255,6,2,2451,1169440,2019-01-06
40,"Peterloo","UK","4440","eOne Films",2.05995864920744,10,7,634,1216042,2019-01-06
43,"Johnny English Strikes Again","UK/Fra/USA","2923.9999999953102","Universal",-0.838539628433115,14,20,146,17685441,2019-01-06
44,"Antony & Cleopatra - NT Live 2018 (Theatre)","UK","2351.0000000037198","National Theatre",-0.699917033632979,6,4,587,575618,2019-01-06
45,"Nae Pasaran!","UK","2264","Cosmic Cat",1.2914979757085,10,3,754,96468,2019-01-06
46,"The Wife","UK/Swe/USA","1932","Picture House Entertainment",10.1676300578035,15,1,1932,1694260,2019-01-06
55,"Tulip Fever","UK/USA","1207.4999999961601","Entertainment",1.1914700544171,5,4,301,123790,2019-01-06
57,"Exhibition on Screen: Degas Passion for Perfection (2018) (Exhibition)","UK","1190","Seventh Art Production",NA,9,1,1190,78889,2019-01-06
58,"They Shall Not Grow Old (With Recorded Q&A)","UK","1119","Warner Bros",-0.472169811320755,9,2,559,325820,2019-01-06
59,"Madness Of George III - NT Live 2018 (Theatre), The","UK","949.00000000280295","National Theatre",NA,8,1,949,530506,2019-01-06
62,"Allelujah! - NT Live 2018 (Theatre)","UK","707.99999999710997","National Theatre",-0.780055917987567,11,1,707,919757,2019-01-06
63,"King of Thieves","UK","700","StudioCanal",NA,17,1,700,6073462,2019-01-06
65,"Juliet, Naked","UK/USA","669.99999999719796","Universal",2.31683168313965,10,2,334,146042,2019-01-06
68,"K.G.F: Chapter 1 (Ireland)","Ind","624","RFT Films",NA,1,2,312,624,2019-01-06
69,"Anna and the Apocalypse","UK","573","Vertigo",-0.37987012987013,6,1,573,55971,2019-01-06
72,"Disney's Christopher Robin","UK/USA","478","Disney",0.604026845637584,21,6,79,14866346,2019-01-06
78,"The 12th Man","Nor","235.50000000549801","Signature Entertainment",NA,1,2,117,235,2019-01-06
79,"Back to Berlin","UK","212.65000000302899","Verve",-0.602523364481075,7,2,106,4651,2019-01-06
82,"Robin Hood","UK/USA","140","Lionsgate",-0.903314917127072,7,1,140,2750552,2019-01-06
89,"Mamma Mia: Here we Go Again!","UK/USA","14.9999999962141","Universal",-0.994176395729874,25,1,14,65591729,2019-01-06
1,"Stan and Ollie","UK/USA","2578838","eOne Films",NA,1,654,3943,2578838,2019-01-13
2,"The Favourite","UK/USA/Ire","2387037","20th Century Fox",-0.398813159214324,2,617,3868,8302694,2019-01-13
3,"Mary Poppins Returns","UK/USA","2256418","Disney",-0.492029995294944,4,675,3342,38242693,2019-01-13
4,"Aquaman","USA","1236887","Warner Bros",-0.333833676949294,5,497,2488,20248936,2019-01-13
5,"Bumblebee","USA","1014828","Paramount",-0.415947171957029,3,555,1828,10708890,2019-01-13
6,"Bohemian Rhapsody","UK/USA","1012782","20th Century Fox",0.385160141472661,12,504,2009,49958709,2019-01-13
7,"Colette","UK/USA","788432","Lionsgate",NA,1,321,2456,788432,2019-01-13
8,"The Upside","USA","681422.40813820204","STX Entertainment",NA,1,312,2184,681422,2019-01-13
9,"Ralph Breaks the Internet","USA","646710","Disney",-0.419981147660812,7,540,1197,16704134,2019-01-13
10,"Spider-Man: Into the Spider-Verse","USA","600876","Sony Pictures",-0.31682536795011,5,487,1233,8627740,2019-01-13
11,"Petta","Ind","292532","Murugan Talkies",NA,1,63,4643,292532,2019-01-13
12,"Adriana Lecouvreur - Met Opera 2019 (Opera)","USA","184460","Trafalgar",NA,1,204,904,184460,2019-01-13
13,"Fantastic Beasts: The Crimes of Grindelwald","UK/USA","160449","Warner Bros",-0.563337542591524,9,221,726,33818504,2019-01-13
14,"A Star is Born","USA","153948","Warner Bros",1.02525850501223,15,172,895,29674234,2019-01-13
15,"Creed 2","USA","136646","Warner Bros",-0.548222427205972,7,175,780,9930443,2019-01-13
16,"Viswasam","Ind","98016","Murugan Talkies",NA,1,29,3379,98016,2019-01-13
17,"Holmes & Watson","UK/USA","91019","Sony Pictures",-0.740798856335718,3,230,395,2624891,2019-01-13
18,"The Front Runner","USA","87699","Sony Pictures",NA,1,142,617,87699,2019-01-13
22,"Uri: The Surgical Strike","Ind","49724.025821756899","PackYourBag Films",NA,1,26,1912,49724,2019-01-13
25,"Nativity Rocks!","UK","21077","eOne Films",-0.773885896968267,8,188,112,3097993,2019-01-13
27,"The Accidental Prime Minister","Ind","18249.699999992499","DCPi",NA,1,12,1520,18249,2019-01-13
35,"Widows","UK/USA","8338","20th Century Fox",-0.38614444526246,10,13,641,6296932,2019-01-13
38,"Island of the Hungry Ghosts","Aus","7246","Home",NA,1,9,805,7246,2019-01-13
39,"Do Dooni Panj","Ind","7133.92999999518","B4U Movies",NA,1,7,1019,7133,2019-01-13
40,"The House by the Sea","Fra","6166","New Wave",NA,1,4,1541,6166,2019-01-13
43,"Disobedience","UK/USA/Ire","5384","Curzon",-0.711298192932597,7,8,673,550413,2019-01-13
44,"Antony & Cleopatra - NT Live 2018 (Theatre)","UK","4979","National Theatre",1.11782220331774,7,4,1244,615613,2019-01-13
46,"Allelujah! - NT Live 2018 (Theatre)","UK","4118.9999999987604","National Theatre",4.81779661019149,12,3,1372,933251,2019-01-13
47,"Peterloo","UK","3895","eOne Films",-0.214717741935484,11,6,649,1224315,2019-01-13
52,"Johnny English Strikes Again","UK/Fra/USA","2610.3136583896398","Universal",-0.394801094701054,15,19,137,17702132,2019-01-13
53,"They Shall Not Grow Old (With Recorded Q&A)","UK","2603","Warner Bros",1.32618409294013,10,5,520,329679,2019-01-13
55,"Tulip Fever","UK/USA","1890.99999999541","Entertainment",0.566045548655423,6,5,378,131173,2019-01-13
60,"The King & I: From The London Palladium (Theatre)","UK","1534","Trafalgar",-0.914296888094307,8,1,1534,1573699,2019-01-13
61,"Nae Pasaran!","UK","1418","Cosmic Cat",-0.373674911660777,11,2,709,100478,2019-01-13
68,"The Wife","UK/Swe/USA","850","Picture House Entertainment",-0.560041407867495,16,2,425,1705592,2019-01-13
71,"Disney's Christopher Robin","UK/USA","680","Disney",0.422594142259414,22,6,113,14867026,2019-01-13
73,"Madness Of George III - NT Live 2018 (Theatre), The","UK","530","National Theatre",-0.441517386722866,9,1,530,533940,2019-01-13
74,"Matthew Bourne's Cinderella with Live Q&A (Dance)","UK","518","More2Screen",NA,36,1,518,131225,2019-01-13
75,"Robin Hood","UK/USA","427","Lionsgate",0.0314009661835749,8,1,427,2751376,2019-01-13
79,"Bing at the Cinema","UK","223","Vue Entertainment",NA,38,1,223,118266,2019-01-13
81,"Exhibition on Screen: Degas Passion for Perfection (2018) (Exhibition)","UK","162","Seventh Art Production",-0.863865546218487,10,1,162,79051,2019-01-13
83,"The Nutcracker - ROH, London 2018/19 (Ballet)","UK","140","Royal Opera House",-0.971446053436671,7,1,140,1178554,2019-01-13
89,"Mamma Mia: Here we Go Again!","UK/USA","14.9999999962141","Universal",-0.994176395729874,25,1,14,65591729,2019-01-13
1,"Glass","USA","3423380","Disney",NA,1,559,6124,3423380,2019-01-20
2,"Mary, Queen of Scots","UK/USA","2082160","Universal",NA,1,499,4172,2082160,2019-01-20
3,"Stan and Ollie","UK/USA","1791697","eOne Films",-0.3046641177055,2,679,2638,6096816,2019-01-20
4,"Mary Poppins Returns","UK/USA","1668638","Disney",-0.260809626709832,5,644,2591,40699643,2019-01-20
5,"The Favourite","UK/USA/Ire","1337885","20th Century Fox",-0.439642697535598,3,607,2204,11137384,2019-01-20
6,"Aquaman","USA","721417","Warner Bros",-0.417126259402597,6,420,1717,21441716,2019-01-20
7,"Bumblebee","USA","635593","Paramount",-0.370351511381052,4,488,1302,11643637,2019-01-20
8,"Bohemian Rhapsody","UK/USA","630734","20th Century Fox",-0.386138594589123,13,384,1642,51141113,2019-01-20
9,"Ralph Breaks the Internet","USA","523223","Disney",-0.191989745886386,8,510,1025,17299915,2019-01-20
10,"Spider-Man: Into the Spider-Verse","USA","502544","Sony Pictures",-0.164134618263349,6,452,1111,9294314,2019-01-20
11,"The Upside","USA","413773.641095753","STX Entertainment",-0.392943702869659,2,298,1388,1483007,2019-01-20
12,"Beautiful Boy","USA","361382","StudioCanal",NA,1,124,2914,361382,2019-01-20
13,"Underdog","Pol","284999","Phoenix",NA,1,242,1177,284999,2019-01-20
14,"Colette","UK/USA","218429","Lionsgate",-0.723236436711411,2,310,704,1471710,2019-01-20
15,"La Bayadere - Bolshoi Ballet 2019 (Ballet)","Rus","136621","Trafalgar",NA,1,156,875,136621,2019-01-20
16,"Hey Duggee at the Cinema","UK","67672.033528448694","Vue Entertainment",NA,1,88,769,67672,2019-01-20
17,"Fantastic Beasts: The Crimes of Grindelwald","UK/USA","62723","Warner Bros",-0.611032216055316,10,130,482,33940883,2019-01-20
27,"Nativity Rocks!","UK","21965","eOne Films",0.0415382426857604,9,223,98,3120003,2019-01-20
28,"Holmes & Watson","UK/USA","20738","Sony Pictures",-0.772547299149986,4,113,183,2682917,2019-01-20
35,"Monsters and Men","USA","8440","Altitude",NA,1,16,527,8440,2019-01-20
36,"Kaka Ji","Ind","7796.3799999974499","B4U Movies",NA,1,8,974,7796,2019-01-20
38,"The Raft","Swe/Den/USA/Ger","5896","Modern Films",NA,1,4,1474,5896,2019-01-20
40,"Jack Em Popoy: The Puliscredibles","Phl","4683.1399999987498","ABS-CBN Distributors",NA,1,3,1561,4683,2019-01-20
44,"Allelujah! - NT Live 2018 (Theatre)","UK","4065","National Theatre",-0.607814761215629,13,3,1355,945065,2019-01-20
45,"Johnny English Strikes Again","UK/Fra/USA","3382.13500716522","Universal",0.295681458163052,16,21,161,17719945,2019-01-20
46,"Disobedience","UK/USA/Ire","3193","Curzon",-0.406946508172363,8,7,456,560280,2019-01-20
47,"Widows","UK/USA","2962","20th Century Fox",-0.68582944420874,11,7,423,6310551,2019-01-20
48,"Tulip Fever","UK/USA","2336.4999999925899","Entertainment",-0.177433550432686,7,5,467,139456,2019-01-20
53,"Disney's Christopher Robin","UK/USA","1658","Disney",1.43823529411765,23,9,184,14868684,2019-01-20
55,"The Wife","UK/Swe/USA","1596","Picture House Entertainment",0.877647058823529,17,3,532,1708404,2019-01-20
56,"London Unplugged","UK","1539","Munro Film",NA,1,1,1539,1539,2019-01-20
60,"The King & I: From The London Palladium (Theatre)","UK","1085","Trafalgar",-0.622214484679666,9,1,1085,1599344,2019-01-20
61,"Robin Hood","UK/USA","1063","Lionsgate",1.48946135831382,9,2,531,2752751,2019-01-20
65,"The Winter's Tale: Live from Shakespeare's Globe (Theatre)","UK","773","More2Screen",0.82311320754717,17,1,773,121069,2019-01-20
73,"Peterloo","UK","379","eOne Films",-0.91735717400785,12,1,379,1232019,2019-01-20
77,"They Shall Not Grow Old (With Recorded Q&A)","UK","255","Warner Bros",-0.902036112178256,11,2,127,330796,2019-01-20
78,"Antony & Cleopatra - NT Live 2018 (Theatre)","UK","255","National Theatre",-0.948784896565575,8,1,255,621818,2019-01-20
82,"Nae Pasaran!","UK","192","Cosmic Cat",-0.86459802538787,12,1,192,101675,2019-01-20
87,"Exhibition on Screen: Degas Passion for Perfection (2018) (Exhibition)","UK","146","Seventh Art Production",-0.0987654320987654,11,1,146,79197,2019-01-20
88,"Juliet, Naked","UK/USA","123.999999996306","Universal",NA,12,1,123,147431,2019-01-20
1,"Glass","USA","1936631","Disney",-0.435727553367705,2,559,3464,6873056,2019-01-27
2,"Mary, Queen of Scots","UK/USA","1518819","Universal",-0.270939817286018,2,545,2786,4959405,2019-01-27
3,"Vice","USA","1327464","eOne Films",NA,1,505,2628,1327464,2019-01-27
4,"Stan and Ollie","UK/USA","1062847","eOne Films",-0.408513072741105,3,661,1607,8264459,2019-01-27
5,"Mary Poppins Returns","UK/USA","998726","Disney",-0.405161564681561,6,638,1565,42133214,2019-01-27
6,"The Favourite","UK/USA/Ire","965996","20th Century Fox",-0.280785272565642,4,569,1697,13071931,2019-01-27
7,"Dragon Ball Super: Broly","Jpn","851508","National Amusements UK",NA,1,188,4529,851508,2019-01-27
8,"The Mule","USA","725554","Warner Bros",NA,1,462,1570,725554,2019-01-27
9,"A Dog's Way Home","USA","705875","Sony Pictures",NA,1,443,1593,705875,2019-01-27
10,"Love Yourself In Seoul - BTS World Tour 2019 (Concert)","Kor","518809.788182305","Trafalgar",NA,1,291,1782,518809,2019-01-27
11,"Bohemian Rhapsody","UK/USA","434901","20th Century Fox",-0.315161831815848,14,324,1342,51954335,2019-01-27
12,"Ralph Breaks the Internet","USA","406054","Disney",-0.228941606740357,9,490,828,17736795,2019-01-27
13,"Second Act","USA","403211","STX Entertainment",NA,1,344,1172,403211,2019-01-27
14,"Bumblebee","USA","391694","Paramount",-0.385369788037986,5,443,884,12178340,2019-01-27
15,"Aquaman","USA","388997","Warner Bros",-0.462258256265638,7,323,1204,22066309,2019-01-27
19,"Destroyer","USA","106410","Lionsgate",NA,1,113,941,106410,2019-01-27
20,"Colette","UK/USA","100293","Lionsgate",-0.541247181194853,3,161,622,1792312,2019-01-27
22,"Manikarnika: The Queen of Jhansi","Ind","87989.759999992297","Zee Studios",NA,1,49,1795,87989,2019-01-27
24,"Hey Duggee at the Cinema","UK","45044.8499693423","Vue Entertainment",-0.341287806872052,2,88,511,123151,2019-01-27
26,"Schindler's List (25th Anniversary)","USA","29744.5502505894","Universal",NA,1,206,144,29744,2019-01-27
28,"The Queen of Spades - ROH, London 2018/19 (Opera)","UK","23622.054017479899","Royal Opera House",NA,2,83,284,237080,2019-01-27
32,"Tortoise & The Hare - Northern Ballet Bite Sized Ballets 2019 (Ballet)","UK","17131.869999999199","Cinevents",NA,1,153,111,17131,2019-01-27
34,"Fantastic Beasts: The Crimes of Grindelwald","UK/USA","13606","Warner Bros",-0.785813235942321,11,74,183,33971140,2019-01-27
40,"Holmes & Watson","UK/USA","6850","Sony Pictures",-0.671115805646245,5,67,102,2698266,2019-01-27
41,"VIP Policeman","Rus","6502","Kinostar",NA,1,1,6502,6502,2019-01-27
45,"Love Sonia","Ind","4571","Modern Films",NA,1,13,351,4571,2019-01-27
46,"Manikarnika: The Queen of Jhansi (Ireland)","Ind","4510.4786369999201","RFT Films",NA,1,6,751,4510,2019-01-27
47,"Bergman: A Year in a Life (Re: 2018)","Nor/Swe","4398.9999999994898","BFI",NA,1,4,1099,4398,2019-01-27
48,"On Her Shoulders","USA","3588","Dogwoof",NA,1,3,1196,3588,2019-01-27
51,"One Nation, One King","Fra","3050","StudioCanal",NA,1,1,3050,3050,2019-01-27
53,"Nativity Rocks!","UK","2578","eOne Films",-0.883847713448975,10,33,78,3128476,2019-01-27
56,"The King & I: From The London Palladium (Theatre)","UK","2056.9999999963702","Trafalgar",-0.442924847664814,10,2,1028,1606663,2019-01-27
58,"The Wife","UK/Swe/USA","1560","Picture House Entertainment",-0.0207156308851224,18,2,780,1712322,2019-01-27
62,"They Shall Not Grow Old (With Recorded Q&A)","UK","1353","Warner Bros",4.30588235294118,12,1,1353,332471,2019-01-27
67,"Robin Hood","UK/USA","1019","Lionsgate",-0.0413922859830668,10,2,509,2771500,2019-01-27
70,"Nina","Pol","841.00000000317903","Peccadillo",NA,1,1,841,841,2019-01-27
71,"London Unplugged","UK","753","Munro Film",-0.510721247563353,2,1,753,2717,2019-01-27
73,"Widows","UK/USA","703","20th Century Fox",-0.762660364618501,12,2,351,6318306,2019-01-27
74,"Johnny English Strikes Again","UK/Fra/USA","681.73288098422495","Universal",-0.798431204094473,17,4,170,17724899,2019-01-27
80,"Nae Pasaran!","UK","304","Cosmic Cat",0.583333333333333,13,1,304,103462,2019-01-27
83,"Juliet, Naked","UK/USA","282.00000000145599","Universal",1.27419354846659,13,1,282,148424,2019-01-27
85,"Back to Berlin","UK","216.10000000576801","Verve",NA,10,2,108,4912,2019-01-27
1,"How to Train Your Dragon: The Hidden World","USA","5323448","Universal",NA,1,556,9574,5323448,2019-02-03
2,"Green Book","USA","1672562","eOne Films",NA,1,557,3002,1672562,2019-02-03
3,"Glass","USA","944735","Disney",-0.51224807,3,511,1848,8641332,2019-02-03
4,"Escape Room","USA","820218","Sony Pictures",NA,1,373,2198,820218,2019-02-03
5,"Mary, Queen of Scots","UK/USA","782198","Universal",-0.48624443,3,548,1427,6623402,2019-02-03
6,"Vice","USA","581985","eOne Films",-0.55914903,2,479,1215,2528464,2019-02-03
7,"Mary Poppins Returns","UK/USA","530842","Disney",-0.47340499,7,581,913,42941029,2019-02-03
8,"Can You Ever Forgive Me?","USA","518230","20th Century Fox",NA,1,256,2024,518230,2019-02-03
9,"Stan and Ollie","UK/USA","413289","eOne Films",-0.61126213,4,542,762,9270294,2019-02-03
10,"The Favourite","UK/USA/Ire","410001","20th Century Fox",-0.57338401,5,458,895,14019668,2019-02-03
11,"A Dog's Way Home","USA","396222.28559689497","Sony Pictures",-0.43895796,2,445,890,1220466,2019-02-03
12,"Carmen - Met Opera 2019 (Opera)","USA","293456","Trafalgar",NA,1,209,1404,293456,2019-02-03
13,"The Mule","USA","291127.72995372798","Warner Bros",-0.59820371,2,425,685,1421554,2019-02-03
14,"Bohemian Rhapsody","UK/USA","279896","20th Century Fox",-0.35618795,15,278,1006,52461374,2019-02-03
15,"Spider-Man: Into the Spider-Verse","USA","227112","Sony Pictures",-0.38715274,8,343,662,10040340,2019-02-03
20,"Ek Ladki Ko Dekha Toh Aisa Laga","Ind","127359.402517929","20th Century Fox",NA,1,60,2122,127359,2019-02-03
23,"La Traviata - ROH, London 2018/19 (Opera)","UK","67538.247215711803","Royal Opera House",NA,2,90,750,645068,2019-02-03
26,"Burning","Kor","39705","Thunderbird",NA,1,34,1167,39705,2019-02-03
27,"Colette","UK/USA","38152","Lionsgate",-0.62154924,4,100,381,1931287,2019-02-03
29,"Diablo","Pol","30414.3718143427","Magnetes",NA,1,120,253,30414,2019-02-03
31,"Hey Duggee at the Cinema","UK","21343.4001868585","Vue Entertainment",-0.52617446,3,87,245,151346,2019-02-03
34,"Uda Aida","Ind","15074.320000007499","Rising Star Entertainment",NA,1,10,1507,15074,2019-02-03
35,"Vandha Rajavathaan Varuven","Ind","14370.9259570583","Big Films",NA,1,30,479,14370,2019-02-03
38,"Fantastic Beasts: The Crimes of Grindelwald","UK/USA","7772","Warner Bros",-0.42878142,12,60,129,33983115,2019-02-03
42,"Holmes & Watson","UK/USA","4625","Sony Pictures",-0.37491553,6,55,84,2706237,2019-02-03
48,"The Gandhi Murder","Ind/UK","2089.7200000051198","Rising Star Entertainment",NA,2,17,122,2938,2019-02-03
49,"Cellar Door","Ire","1648","Independent",NA,1,1,1648,1648,2019-02-03
59,"The Tragedy Of King Richard The Second - NT Live 2019 (Theatre)","UK","984.49999999948","National Theatre",NA,4,4,246,286213,2019-02-03
64,"Tortoise & The Hare - Northern Ballet Bite Sized Ballets 2019 (Ballet)","UK","805.16999999212305","Cinevents",-0.95300163,2,7,115,17937,2019-02-03
66,"Everybody's Talking About Jamie (Musical)","UK","735.99999999868498","More2Screen",NA,32,1,736,951950,2019-02-03
68,"Nae Pasaran!","UK","686","Cosmic Cat",1.25657895,14,1,686,104446,2019-02-03
74,"Peterloo","UK","472","eOne Films",-0.73028571,14,1,472,1258643,2019-02-03
76,"The Little Stranger","UK/Ire","433","20th Century Fox",-0.40684932,20,1,433,796454,2019-02-03
79,"Disobedience","UK/USA/Ire","410","Curzon",NA,10,3,136,564180,2019-02-03
82,"The Wife","UK/Swe/USA","381","Picture House Entertainment",-0.75576923,19,1,381,1714921,2019-02-03
83,"Yilmaz Guney: The Legend of the Ugly King","Ger/Aut","349.56000000338099","AF-Media",NA,1,4,87,349,2019-02-03
92,"Johnny English Strikes Again","UK/Fra/USA","103.272445673028","Universal",-0.84851479,18,2,51,17725003,2019-02-03
93,"Vantha Rajavathaan Varuven (Ireland)","Ind","66.392493498072795","RFT Films",NA,1,2,33,66,2019-02-03
97,"Widows","UK/USA","36","20th Century Fox",-0.9487909,13,1,36,6343548,2019-02-03
1,"The LEGO Movie 2","Den/Nor/Aus/USA","4016730.32902893","Warner Bros",NA,1,572,7022,4016730,2019-02-10
2,"Alita: Battle Angel","USA/Can/Arg","3198180","20th Century Fox",NA,1,534,5989,3198180,2019-02-10
3,"How to Train Your Dragon: The Hidden World","USA","2750729","Universal",-0.483385866891988,2,566,4859,9055241,2019-02-10
4,"Green Book","USA","1070922","eOne Films",-0.360020796357052,2,573,1868,3624275,2019-02-10
5,"Glass","USA","560579","Disney",-0.406652179941637,4,412,1360,9646964,2019-02-10
6,"Mary, Queen of Scots","UK/USA","526167","Universal",-0.326937861288313,4,469,1121,7764545,2019-02-10
7,"Escape Room","USA","441358","Sony Pictures",-0.462226137517013,2,347,1271,1636555,2019-02-10
8,"Vice","USA","330197","eOne Films",-0.432494212316466,3,318,1038,3223856,2019-02-10
9,"Mary Poppins Returns","UK/USA","275315","Disney",-0.485700141971157,8,452,609,43337786,2019-02-10
10,"All is True","UK","266767","Sony Pictures",NA,1,252,1058,266767,2019-02-10
11,"Can You Ever Forgive Me?","USA","262204","20th Century Fox",-0.494837674285087,2,252,1040,1170469,2019-02-10
12,"If Beale Street Could Talk","USA","252462","eOne Films",NA,1,52,4855,252462,2019-02-10
13,"The Favourite","UK/USA/Ire","248159","20th Century Fox",-0.397549500383573,6,301,824,14615916,2019-02-10
14,"Bohemian Rhapsody","UK/USA","243514","20th Century Fox",-0.131814065586161,16,241,1010,52904257,2019-02-10
15,"Stan and Ollie","UK/USA","204474","eOne Films",-0.505273319832473,5,357,572,9814484,2019-02-10
18,"Boy Erased","USA","118585","Universal",NA,1,116,1022,118585,2019-02-10
21,"Pegasus","Chn","74070","Trinity/ Cine Asia",NA,1,15,4938,74070,2019-02-10
23,"Exhibition on Screen: Young Picasso 2019 (Exhibition)","UK/Esp/Fra","54046","Seventh Art Production",NA,1,15,3603,54046,2019-02-10
32,"Colette","UK/USA","27842","Lionsgate",-0.276041395808414,5,64,435,2022250,2019-02-10
35,"Hey Duggee at the Cinema","UK","14405.028791115001","Vue Entertainment",-0.325082757901694,4,88,163,170607,2019-02-10
40,"Integrity","HK","6728.3071203695099","Asia Releasing",NA,1,14,480,6728,2019-02-10
41,"Fantastic Beasts: The Crimes of Grindelwald","UK/USA","6598","Warner Bros",-0.151055069480185,13,39,169,33992160,2019-02-10
42,"Antony & Cleopatra - NT Live 2018 (Theatre)","UK","5752.9999999987504","National Theatre",NA,11,5,1150,636274,2019-02-10
46,"Disney's Christopher Robin","UK/USA","2886","Disney",NA,26,15,192,14873157,2019-02-10
47,"Peranbu","Ind","2639.59999999926","RFT Films",NA,1,4,659,2639,2019-02-10
48,"Amavas","Ind","2406.5400000005602","Blue Sapphire",NA,1,4,601,2406,2019-02-10
49,"Everybody's Talking About Jamie (Musical)","UK","2270.0000000001701","More2Screen",-0.614829897344559,33,2,1135,968868,2019-02-10
51,"Irupathiyonnaam Noottaandu","Ind","1908.7000000084399","RFT Films",NA,1,20,95,1908,2019-02-10
57,"Tortoise & The Hare - Northern Ballet Bite Sized Ballets 2019 (Ballet)","UK","1355.9999999947099","Cinevents",0.484937087298482,3,4,338,19401,2019-02-10
61,"Disobedience","UK/USA/Ire","1150","Curzon",1.80487804878049,11,2,575,566340,2019-02-10
62,"Madness Of George III - NT Live 2018 (Theatre), The","UK","1144","National Theatre",NA,13,1,1144,543767,2019-02-10
64,"Holmes & Watson","UK/USA","978","Sony Pictures",-0.78854054054054,7,18,54,3815977,2019-02-10
65,"The Wife","UK/Swe/USA","975","Picture House Entertainment",0.330150068212824,20,1,975,1719398,2019-02-10
70,"Nae Pasaran!","UK","662","Cosmic Cat",-0.0349854227405248,15,1,662,105783,2019-02-10
71,"La Traviata - ROH, London 2018/19 (Opera)","UK","623.00000000323496","Royal Opera House",-0.99144044511352,3,1,623,677232,2019-02-10
73,"The Tragedy of King Richard the Second - NT Live 2019 (Theatre)","UK","612.99999999938905","National Theatre",-0.377348908075457,5,2,306,291720,2019-02-10
74,"Exhibition on Screen: Degas Passion for Perfection (2018) (Exhibition)","UK","588","Seventh Art Production",NA,14,1,588,80966,2019-02-10
75,"Exhibition On Screen: Cezanne 2018 (Exhibition)","UK","394","Seventh Art Production",NA,56,1,394,134426,2019-02-10
83,"Jubilee (Re: 2018)","UK","95.999999996754696","BFI",NA,29,1,95,554,2019-02-10
1,"The LEGO Movie 2","Den/Nor/Aus/USA","2472489","Warner Bros",-0.383976541921673,2,652,3792,7410895,2019-02-17
2,"Instant Family","USA","2469853","Paramount",NA,1,536,4607,2469853,2019-02-17
3,"How to Train Your Dragon: The Hidden World","USA","1649759","Universal",-0.400576112338999,3,646,2553,11498639,2019-02-17
